Wavelength,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
578.87891,-151.62934014751167,-37.78467583901374,13.989736916930168,12.536204928143293,-40.14593210089144
578.9392064773924,-151.62934014751167,-37.78467583901374,13.989736916930168,12.536204928143293,-40.14593210089144
578.9994997234646,-151.62934014751167,-37.78467583901374,13.989736916930168,12.536204928143293,-40.14593210089144
579.0597897380601,4.178633344949436,-45.77648200854503,-27.97601669906623,-37.421402616871845,-66.11747521993165
579.1200765210216,42.15429882130392,34.158741148307016,-1.9984406931922283,20.530781286128303,21.802679507712895
579.1803600721922,32.15990785311969,30.161097110287088,33.977028100005185,6.54051464117363,11.809443507018464
579.2406403914148,-1.816765234605287,14.171429272248899,11.991133576253867,8.539054919439744,-16.168526294081794
579.3009174785326,12.17282383621276,-27.794369356630984,-23.9797291484484,22.529482641621396,5.813778476267988
579.3611913333887,32.15990785311969,32.15990785311969,-13.988590617930054,4.541997583747037,-8.175290729686091
579.4214619558257,-11.808626658577525,-11.808626658577525,9.992553313127813,-29.429188252463625,15.806669026700114
579.481729345687,26.163543488555636,-23.798077426853474,-33.97026682638053,-7.448614167479035,21.802679507712895
579.5419935028157,-3.815184615001747,4.178633344949436,7.9939961800246975,2.543503799843463,13.808044751901914
579.6022544270545,20.167383493559957,32.15990785311969,23.98309795241598,-3.451837382731607,39.79193768801566
579.6625121182466,4.178633344949436,38.15647518933365,19.985684880690204,2.543503799843463,37.79304111367931
579.7227665762349,24.164800713282585,-3.815184615001747,9.992553313127813,32.523330412673936,25.80013402071171
579.7830178008626,68.1423079491946,28.162308971507503,21.984380008382047,18.53210278485178,43.78979785234184
579.8432657919726,126.12857364071915,116.129696077534,163.9470283110223,62.508229512433225,105.76776249157773
579.903510549408,8121.812941934631,8089.791635186682,8037.574225578088,8032.115900824365,8037.3922815964
579.9637520730116,13853.52001798277,13931.336986861352,13739.617333742939,13712.231718423196,13719.48612151158
580.0239903626269,13626.089058014993,13534.330718527335,13444.391218785207,13590.545582313076,13442.215322876864
580.0842254180965,13552.282969540956,13532.336037301964,13673.784135846936,13664.35378552548,13553.915003200413
580.1444572392636,13618.109827655198,13580.209134255769,13480.293894956598,13550.65093770465,13603.783603283857
580.204685825971,13592.177660139087,13590.182898615356,13486.277748539527,13654.379455274344,13565.88330621509
580.264911178062,13586.19338424708,13711.868999474744,13556.091050924264,13594.535109322533,13761.381218300137
580.3251332953795,13697.904406437907,13833.567986698328,13811.439842760668,13770.086894615111,13721.481090450057
580.3853521777667,13679.950173738665,13723.83878553609,13777.523049471873,13634.43103304327,13771.356478339507
580.4455678250662,13658.006475161328,13624.094245856233,13605.95972871841,13568.603388995401,13659.638637568376
580.5057802371214,13671.970601271778,13556.272388381656,13621.918090618074,13718.216597645185,13631.710817871468
