Wavelength,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
578.87891,-142.73548472059636,-64.11981378600599,56.329116591691935,-145.09513217533885,30.706225073330025
578.9392064773924,-142.73548472059636,-64.11981378600599,56.329116591691935,-145.09513217533885,30.706225073330025
578.9994997234646,-142.73548472059636,-64.11981378600599,56.329116591691935,-145.09513217533885,30.706225073330025
579.0597897380601,-24.8879847761997,-22.163203000929666,-67.57030408234476,-45.23159861030789,-39.23776065562214
579.1200765210216,49.0598403675977,15.806669026700114,-29.610833797769008,58.691693929313324,-13.26193910396444
579.1803600721922,13.081277995480832,-30.15576923421793,2.361823702643087,30.706225073330025,20.712480465748822
579.2406403914148,27.072070441650414,21.802679507712895,-9.628634485354295,22.711183896314985,-21.254932491267404
579.3009174785326,13.081277995480832,1.8167845681138501,0.36335536821369885,36.70274333233004,-19.256719951221832
579.3611913333887,1.0900684233903073,39.79193768801566,20.34908229538555,20.712480465748822,26.708659097724222
579.4214619558257,-8.901964169831036,9.810865344452322,-9.628634485354295,36.70274333233004,-7.266944539404832
579.481729345687,39.06506361713128,-24.16138067141573,10.355929823910607,-3.2701634754398117,14.716507479554439
579.5419935028157,27.072070441650414,25.80013402071171,30.34280624454275,-11.263631257616355,12.71789576003637
579.6022544270545,7.085568780022273,25.80013402071171,-3.633511095932277,-1.2717376966074088,-5.268565774060496
579.6625121182466,55.05697224708163,11.809443507018464,16.35175236441805,10.719307099006702,38.701627691006195
579.7227665762349,15.079893901822818,9.810865344452322,16.35175236441805,18.71379988466271,20.712480465748822
579.7830178008626,45.061862954639054,31.796486039097413,20.34908229538555,8.720741548910066,8.720741548910066
579.8432657919726,117.03866391308736,91.77094663679158,72.32254175759299,134.6734695470904,110.67597794812615
579.903510549408,7081.884189665802,7118.644374418278,7061.138293367364,7039.482453998317,7081.5202268699495
579.9637520730116,12185.024816151445,12072.050375386902,12226.187098513383,12108.863082827165,12017.101787621199
580.0239903626269,11849.88624641978,12052.102260479942,11893.052195374567,11899.400017255788,11843.538199506416
