Wavelength,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
578.87891,58.873431914059026,59.78212454802892,26.890364675932023,7.2672538766027674,-44.505084565291604
578.9392064773924,58.873431914059026,59.78212454802892,26.890364675932023,7.2672538766027674,-44.505084565291604
578.9994997234646,58.873431914059026,59.78212454802892,26.890364675932023,7.2672538766027674,-44.505084565291604
579.0597897380601,-53.041418521097235,-52.13331935512328,-33.06206113426259,-62.66695331849144,-50.49872794722684
579.1200765210216,-29.06589656236303,9.810865344452322,-3.088489374096733,29.25255424193988,53.42137116199042
579.1803600721922,8.902428369813848,-24.16138067141573,26.890364675932023,21.25757913748534,17.44192416284211
579.2406403914148,28.88913840336197,39.79193768801566,14.89820059564181,-18.711748743454752,-2.543465906158361
579.3009174785326,4.9053625919173225,-16.168526294081794,-13.080275734746428,23.256288790689457,-30.51905852522174
579.3611913333887,-3.088489374096733,31.796486039097413,-23.071468555006852,1.2717471700254999,37.429607778754566
579.4214619558257,-3.088489374096733,-22.163203000929666,12.899586782495417,15.261587398058612,-16.531846152143775
579.481729345687,-21.073277795108986,-2.18011595800663,12.899586782495417,-2.7251405894162937,15.443281084309659
579.5419935028157,-5.086893809473704,-12.171955946303951,-27.067777992513744,-22.7081629283694,31.433064970918092
579.6022544270545,12.899586782495417,-12.171955946303951,4.9053625919173225,9.265802585763614,-10.536967981857398
579.6625121182466,28.88913840336197,-18.166775758575955,-23.071468555006852,-4.723549296990415,11.446063940876002
579.7227665762349,-5.086893809473704,-18.166775758575955,42.88118543865015,13.262969398953706,43.42635233486684
579.7830178008626,38.88334556159359,37.79304111367931,34.88559520069082,15.261587398058612,27.435482535464235
579.8432657919726,106.85846628456386,81.77385140859217,86.8632155767829,101.22322973984099,121.4017681915591
579.903510549408,7930.407177501044,7939.322753626102,7970.436084860318,7850.711702204518,7968.980497789844
579.9637520730116,13513.114697303463,13545.936189262335,13385.461609416872,13539.408100863317,13547.568215859534
580.0239903626269,13447.292417481576,13520.005338747067,13341.582853513502,13316.017538819677,13429.885295906046
580.0842254180965,13209.951444762408,13464.155730199882,13457.265324546976,13459.622565481102,13413.928913670528
580.1444572392636,13329.616074809004,13428.253386853594,13255.822258773886,13264.162485433648,13346.115741023541
580.204685825971,13319.643807300949,13494.074923898266,13383.46710036345,13310.034208000092,13352.099166914175
580.264911178062,13335.599456192049,13440.22075396143,13467.238289073497,13318.01198579065,13411.93437547003
580.3251332953795,13393.439665564718,13440.22075396143,13560.987170246504,13591.270949995971,13499.696166648224
580.3853521777667,13495.162904833933,13649.664345190187,13543.034813096048,13437.682214919925,13551.557621833366
580.4455678250662,13531.066696075637,13386.368205096765,13547.024206793069,13425.714864547692,13364.06606864222
580.5057802371214,13479.205923905967,13318.55592616769,13453.276154887088,13310.034208000092,13415.923453979382
580.5659894137751,13606.86644869143,13653.654052565134,13704.614644462421,13655.104858405684,13657.281070336987
580.6261953548706,13335.599456192049,13416.286097899096,13509.125392488882,13427.70941749263,13607.410480969998
580.6863980602506,13860.23124836568,13717.491156070833,13796.385727365147,13726.921932681007,13842.818423059505
580.7465975297583,13405.40681053898,13432.242500446013,13311.66602400283,13254.190478252554,13348.11021449329
580.8067937632368,13712.594437486152,13909.02515007011,13780.424977757346,13808.719203022963,13741.068245940454
580.866986760529,13808.356451609752,13805.273069826502,13642.773062279837,13794.753366702445,13659.275934625333
580.9271765214777,13814.341866550674,13691.556919351397,13744.514170047652,13679.043401482772,13842.818423059505
580.9873630459264,13730.549175421951,13907.029809634007,13774.439759416467,13722.931979153082,13741.068245940454
581.047546333718,13938.048787620664,13875.104954799985,13914.1042183884,13910.47630952207,13804.910319642688
581.1077263846951,13620.83001435732,13723.476062895706,13742.519160042095,13742.881888865459,13677.22985902022
